ts,lat,lon,time
1772089169540,34.086594,-118.005278,2026-02-26 06:59:29.540
1772089349361,34.086612,-118.005283,2026-02-26 07:02:29.361
1772089529076,34.086617,-118.005278,2026-02-26 07:05:29.076
1772089708836,34.086617,-118.005278,2026-02-26 07:08:28.836
1772089888712,34.086617,-118.005278,2026-02-26 07:11:28.712
1772090069564,34.086617,-118.005278,2026-02-26 07:14:29.564
1772090249394,34.086617,-118.005278,2026-02-26 07:17:29.394
1772090429311,34.086617,-118.005278,2026-02-26 07:20:29.311
1772090609068,34.086598,-118.005289,2026-02-26 07:23:29.068
1772090788922,34.086598,-118.005313,2026-02-26 07:26:28.922
1772090969596,34.086613,-118.005302,2026-02-26 07:29:29.596
1772091149364,34.086608,-118.005314,2026-02-26 07:32:29.364
1772091328980,34.086603,-118.005291,2026-02-26 07:35:28.980
1772091509659,34.086589,-118.005297,2026-02-26 07:38:29.659
1772091689423,34.086588,-118.005306,2026-02-26 07:41:29.423
1772091869250,34.086601,-118.005305,2026-02-26 07:44:29.250
1772092049074,34.086602,-118.005296,2026-02-26 07:47:29.074
1772092229575,34.086608,-118.005294,2026-02-26 07:50:29.575
1772092409601,34.086597,-118.005298,2026-02-26 07:53:29.601
1772092589132,34.086609,-118.005316,2026-02-26 07:56:29.132
1772092768801,34.086595,-118.005299,2026-02-26 07:59:28.801
1772092949581,34.086596,-118.005294,2026-02-26 08:02:29.581
1772093129250,34.086595,-118.005301,2026-02-26 08:05:29.250
1772093309174,34.086627,-118.005297,2026-02-26 08:08:29.174
1772093488727,34.086627,-118.005297,2026-02-26 08:11:28.727
1772093669553,34.086617,-118.005295,2026-02-26 08:14:29.553
1772093849174,34.086612,-118.005293,2026-02-26 08:17:29.174
1772094028778,34.08663,-118.005296,2026-02-26 08:20:28.778
1772094209519,34.086629,-118.005288,2026-02-26 08:23:29.519
1772094389160,34.086617,-118.005288,2026-02-26 08:26:29.160
1772094569158,34.086607,-118.005284,2026-02-26 08:29:29.158
1772094748766,34.086611,-118.005297,2026-02-26 08:32:28.766
1772094929408,34.086596,-118.005296,2026-02-26 08:35:29.408
1772095109012,34.086611,-118.005312,2026-02-26 08:38:29.012
1772095288744,34.086611,-118.005284,2026-02-26 08:41:28.744
1772095469528,34.08662,-118.005296,2026-02-26 08:44:29.528
1772095649111,34.08661,-118.005287,2026-02-26 08:47:29.111
1772095829194,34.086633,-118.005293,2026-02-26 08:50:29.194
1772096009568,34.086625,-118.005294,2026-02-26 08:53:29.568
1772096189344,34.086622,-118.005282,2026-02-26 08:56:29.344
1772096369058,34.08654,-118.005294,2026-02-26 08:59:29.058
1772096548766,34.086506,-118.005292,2026-02-26 09:02:28.766
1772096728705,34.086539,-118.005281,2026-02-26 09:05:28.705
1772096909327,34.086548,-118.005291,2026-02-26 09:08:29.327
1772097089339,34.086616,-118.005267,2026-02-26 09:11:29.339
1772097268964,34.086611,-118.005277,2026-02-26 09:14:28.964
1772097448637,34.086606,-118.005267,2026-02-26 09:17:28.637
1772097629421,34.0866,-118.005281,2026-02-26 09:20:29.421
1772097809224,34.086589,-118.005286,2026-02-26 09:23:29.224
1772097988939,34.086607,-118.005273,2026-02-26 09:26:28.939
1772098168612,34.086581,-118.005277,2026-02-26 09:29:28.612
1772098349317,34.086602,-118.00528,2026-02-26 09:32:29.317
